co teď dávají na jedničce	inform(task="tv_program")&inform(time_rel="now")&inform(channel="CT1")
co běží v televizi	inform(task="tv_program")&inform(time_rel="now")
na ČT1	inform(task="tv_program")&inform(channel="CT1")
na ČT2	inform(task="tv_program")&inform(channel="CT2")
na Nově	inform(task="tv_program")&inform(channel="Nova")
na Primě	inform(task="tv_program")&inform(channel="Prima")
teď	inform(time_rel="now")
v osm večer	inform(time="08:00")&inform(ampm="pm")
večer	inform(ampm="pm")
po zprávách	inform(time="08:00")&inform(ampm="pm")&inform(task="tv_program")
v kolik hodin jsou zprávy	inform(task="tv_program")&inform(genre="news")&request(time)
zprávy	inform(genre="news")
počasí	inform(genre="weather")
sport	inform(genre="sport")
detektivka	inform(genre="detective")
telenovela	inform(genre="telenovela")
film	inform(type="movie")
seriál	inform(type="series")
pohádku	inform(genre="fairy_tale")
pořad pro děti	inform(genre="kids")
dávají dneska něco s Leonardem DiCapriem	inform(task="tv_program")&inform(actor="Leonardo DiCaprio")&inform(time_rel="today")
jiný program	deny(channel)
co vysílají jinde	deny(channel)
chtěl bych se večer podívat na nějakou komedii	inform(task="tv_program")&inform(ampm="pm")&inform(genre="comedy")
na kterém programu je fotbal	inform(task="tv_program")&inform(genre="sport")&inform(subtype="football")&request(channel)
je to přímý přenos	request(type)
jak je to dlouhé	request(duration)
